[step37-defaults] serving doors armed ON for the SlidingGatedMoe program (per-flag =0 kills, =1 forces; owner flip 2026-08-27)
[skey] chain=graph_chain_s round=52 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=53 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=54 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=55 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=56 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=57 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=58 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=59 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=60 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[mtp-chain] heads=3 policy=step-modulo prefix-replay kv=per-head
[gemm-prime] ENGAGED t=613 base=0 seq_end=613 chunks<=4096 (GEMM trunk + grouped MoE)
[mtp-chain-graph] captured mode=sampled heads=3 interior=3 last=3 filtered=1 key=SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false }
[skey] burst sampled=1 pure_temp=0 capturable=1 temp=0.5 top_k=0 top_p=0.9 min_p=0 pen_on=0 k=7 graph_draft=1 graph_s_parked=0 chain_s_parked=1 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=0 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=1 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=2 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=3 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=4 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=5 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=6 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=7 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=8 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=9 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=10 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=11 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=12 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=13 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=14 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=15 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=16 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=17 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=18 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=19 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=20 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=21 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=22 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=23 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=24 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=25 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=26 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=27 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=28 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=29 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=30 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=31 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=32 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=33 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=34 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=35 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=36 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=37 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=38 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=39 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=40 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=41 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=42 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=43 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=44 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=45 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=46 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=47 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=48 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=49 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=50 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=51 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=52 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=53 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=54 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=55 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=56 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=57 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=58 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=59 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=60 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 7, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })

[generate_spec K=7] 160 tok in 3.506s = 45.35 tok/s (0.44x vs generate; this run's prime 0.301s)
  acceptance: 98/427 = 23.0%   self-consistency: PASS (seeded rerun identical)
  sampled tokens: [70935, 436, 14, 2513, 734, 1904, 513, 1257, 56408, 270, 10156, 3607, 2632, 10883, 1257, 14, 1748, 33, 455, 3967, 1438, 8900, 786, 118316, 3607, 13672, 362, 35062, 19861, 343, 75, 46, 35890, 14, 420, 9422, 14, 63904, 11, 778, 344, 260, 3777, 8668, 10158, 362, 2645, 4890, 65160, 14, 4861, 362, 2924, 1277, 532, 19765, 123774, 14, 14812, 20706, 8984, 7874, 14, 35155, 22314, 396, 851, 4750, 6162, 3946, 377, 412, 892, 294, 270, 65160, 39711, 119165, 6781, 339, 10318, 14, 2070, 418, 4337, 38824, 28, 396, 734, 260, 3146, 7527, 59972, 5212, 29606, 14, 1948, 2038, 4836, 477, 270, 53945, 294, 1473, 1669, 55042, 2645, 4890, 20110, 2703, 70583, 1748, 1928, 16, 5715, 14, 2918, 851, 611, 270, 3530, 8003, 4866, 14, 3477, 15360, 14, 75696, 2894, 6531, 396, 12628, 418, 786, 3607, 3618, 14, 554, 1438, 43200, 582, 1775, 678, 1153, 855, 440, 1309, 1694, 13404, 39059, 14, 270, 3967, 734, 2336, 6304, 4619, 1375, 509, 582]
[mtp-chain] heads=3 policy=step-modulo prefix-replay kv=per-head
[gemm-prime] ENGAGED t=613 base=0 seq_end=613 chunks<=4096 (GEMM trunk + grouped MoE)
[mtp-chain-graph] captured mode=sampled heads=3 interior=3 last=3 filtered=1 key=SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 8, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false }
[skey] burst sampled=1 pure_temp=0 capturable=1 temp=0.5 top_k=0 top_p=0.9 min_p=0 pen_on=0 k=8 graph_draft=1 graph_s_parked=0 chain_s_parked=1 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 8, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=0 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 8, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=1 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 8, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=2 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 8, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=3 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 8, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=4 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 8, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=5 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 8, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=6 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 8, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=7 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 8, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=8 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 8, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=9 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 8, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=10 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 8, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=11 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 8, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=12 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 8, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=13 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 8, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=14 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 8, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
